symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
BALRAMCHIN, 439.05, 442.90, 437.00, 438.55, 440.85, 440.80, 2.30, 0.52, 121024, 5.32, 627.80, 407.80, -2.57, 
TVSMOTOR, 3863.00, 3909.00, 3842.50, 3847.80, 3867.50, 3868.60, 19.70, 0.51, 480171, 186.31, 3909.00, 2171.40, 4.82, 
CANFINHOME, 943.95, 959.90, 926.55, 940.40, 945.00, 944.75, 4.60, 0.49, 261835, 24.77, 971.50, 558.50, 4.06, 
SUNTV, 580.90, 588.00, 580.00, 582.85, 585.70, 585.65, 2.85, 0.49, 110770, 6.46, 701.95, 518.05, 3.56, 
CIPLA, 1511.00, 1525.00, 1507.20, 1511.60, 1518.90, 1519.10, 7.30, 0.48, 1385031, 210.15, 1673.00, 1335.00, -0.33, 
SBILIFE, 2067.40, 2094.90, 2063.20, 2067.40, 2077.40, 2074.80, 10.00, 0.48, 686189, 142.92, 2094.90, 1372.55, 4.34, 
VGUARD, 331.80, 335.85, 325.10, 330.75, 332.25, 332.00, 1.50, 0.45, 340701, 11.25, 445.20, 300.00, -3.99, 
BHARTIHEXA, 1785.00, 1832.00, 1785.00, 1802.10, 1810.10, 1809.70, 8.00, 0.44, 154267, 27.99, 2052.90, 1234.00, 4.14, 
BHARATFORG, 1486.90, 1494.00, 1465.90, 1477.20, 1483.40, 1485.70, 6.20, 0.42, 838794, 124.17, 1494.00, 919.10, 3.93, 
LTTS, 4406.00, 4438.00, 4327.30, 4406.60, 4425.00, 4417.70, 18.40, 0.42, 93733, 41.02, 5645.00, 3951.30, -2.15, 
SIGNATURE, 1134.70, 1134.70, 1121.00, 1127.00, 1131.50, 1128.00, 4.50, 0.40, 231664, 26.17, 1414.80, 988.00, 0.06, 
TORNTPOWER, 1401.00, 1410.00, 1387.20, 1399.40, 1404.80, 1403.90, 5.40, 0.39, 436092, 61.12, 1640.00, 1188.00, 6.56, 
ENDURANCE, 2555.00, 2587.00, 2543.50, 2540.20, 2549.50, 2548.50, 9.30, 0.37, 51379, 13.18, 3079.90, 1675.00, -4.53, 
JSWSTEEL, 1180.70, 1192.90, 1179.00, 1180.70, 1184.80, 1186.10, 4.10, 0.35, 915278, 108.57, 1223.90, 880.00, 1.61, 
MINDACORP, 605.00, 614.70, 599.95, 602.50, 604.60, 603.35, 2.10, 0.35, 363983, 22.07, 619.95, 445.05, 0.27, 
APLLTD, 841.75, 847.95, 832.00, 835.05, 838.00, 841.05, 2.95, 0.35, 49134, 4.12, 1123.95, 725.20, -7.24, 
GPIL, 274.00, 280.40, 268.25, 273.05, 273.95, 274.10, 0.90, 0.33, 3249942, 89.50, 290.00, 145.75, 15.59, 
HEG, 623.80, 634.80, 617.00, 619.70, 621.65, 621.40, 1.95, 0.31, 2015501, 126.49, 672.00, 331.25, 19.17, 
ICICIGI, 1979.00, 1985.10, 1963.50, 1973.90, 1980.00, 1978.90, 6.10, 0.31, 239572, 47.24, 2068.70, 1613.70, -0.64, 
ASTERDM, 617.90, 623.00, 612.00, 613.90, 615.80, 615.40, 1.90, 0.31, 241381, 14.86, 732.20, 387.10, -7.67, 
KAYNES, 3999.00, 4107.40, 3930.00, 3977.20, 3989.10, 3996.60, 11.90, 0.30, 1554423, 623.86, 7705.00, 3712.50, -26.46, 
ADANIPORTS, 1488.00, 1496.80, 1479.10, 1489.50, 1493.90, 1494.60, 4.40, 0.30, 678773, 101.03, 1549.00, 1010.75, -1.88, 
PIIND, 3259.90, 3274.70, 3236.50, 3256.60, 3266.30, 3264.90, 9.70, 0.30, 68544, 22.33, 4330.00, 2951.10, -3.48, 
POWERGRID, 271.25, 272.80, 268.70, 270.95, 271.70, 271.65, 0.75, 0.28, 10560152, 285.94, 322.00, 247.30, 1.31, 
LTF, 319.00, 321.60, 316.30, 319.75, 320.65, 320.35, 0.90, 0.28, 4576928, 146.16, 321.90, 129.20, 4.48, 
KPIL, 1204.90, 1221.00, 1196.80, 1196.80, 1200.00, 1199.20, 3.20, 0.27, 89810, 10.84, 1335.60, 786.30, 0.61, 
KAJARIACER, 980.85, 989.90, 966.85, 980.85, 983.40, 983.35, 2.55, 0.26, 139340, 13.66, 1321.90, 758.70, -9.13, 
COLPAL, 2090.10, 2108.30, 2085.50, 2090.10, 2095.40, 2091.40, 5.30, 0.25, 403893, 84.61, 2975.00, 2051.00, -3.16, 
BSE, 2660.00, 2702.40, 2614.60, 2666.50, 2672.70, 2676.20, 6.20, 0.23, 3359616, 894.62, 3030.00, 1227.33, -6.21, 
ABBOTINDIA, 28250.00, 28250.00, 28030.00, 28125.00, 28190.00, 28185.00, 65.00, 0.23, 2782, 7.82, 37000.00, 25325.00, -3.81, 
HDFCAMC, 2657.00, 2686.60, 2636.80, 2657.20, 2663.00, 2662.50, 5.80, 0.22, 889473, 237.18, 2967.25, 1781.53, 2.24, 
BAYERCROP, 4535.00, 4565.00, 4521.00, 4546.70, 4556.80, 4550.70, 10.10, 0.22, 14283, 6.49, 6511.00, 4217.45, -1.29, 
PPLPHARMA, 179.20, 182.93, 177.98, 178.48, 178.86, 179.01, 0.38, 0.21, 4685737, 84.67, 262.70, 165.12, -3.66, 
MAHABANK, 64.00, 65.97, 63.61, 63.93, 64.04, 64.17, 0.11, 0.17, 23467905, 151.56, 65.97, 42.00, 11.05, 
JINDALSTEL, 1084.00, 1087.50, 1074.40, 1080.30, 1082.10, 1082.50, 1.80, 0.17, 785869, 84.88, 1098.00, 723.35, 5.01, 
CDSL, 1465.00, 1479.00, 1452.10, 1466.60, 1468.90, 1469.40, 2.30, 0.16, 1434147, 209.98, 1828.90, 1047.45, -7.88, 
ITCHOTELS, 199.00, 201.00, 196.73, 198.69, 199.00, 199.09, 0.31, 0.16, 1371752, 27.31, 261.62, 155.10, -4.17, 
JYOTHYLAB, 281.50, 287.45, 281.30, 284.30, 284.75, 284.70, 0.45, 0.16, 422708, 12.07, 423.00, 273.00, -3.74, 
COCHINSHIP, 1630.00, 1666.60, 1621.10, 1629.00, 1631.40, 1632.70, 2.40, 0.15, 954309, 157.22, 2545.00, 1180.20, -0.66, 
KEI, 4531.50, 4560.50, 4486.00, 4529.60, 4536.50, 4541.10, 6.90, 0.15, 101427, 45.92, 4582.60, 2424.00, 8.25, 
HONASA, 292.75, 297.80, 290.65, 292.75, 293.20, 293.20, 0.45, 0.15, 618878, 18.21, 334.20, 197.51, 2.45, 
NATIONALUM, 332.00, 334.80, 327.75, 330.30, 330.75, 330.60, 0.45, 0.14, 12024548, 397.94, 334.80, 137.75, 24.57, 
RECLTD, 384.40, 386.70, 377.55, 380.65, 381.20, 381.45, 0.55, 0.14, 9956937, 379.89, 544.70, 330.95, 6.49, 
CASTROLIND, 193.35, 195.73, 191.40, 191.50, 191.75, 191.69, 0.25, 0.13, 1698949, 32.72, 251.95, 162.60, -, 
MMTC, 67.70, 69.20, 66.66, 67.30, 67.39, 67.52, 0.09, 0.13, 3624653, 24.60, 88.19, 44.50, 13.55, 
SUNPHARMA, 1728.00, 1746.00, 1723.40, 1728.00, 1730.10, 1730.90, 2.10, 0.12, 1194489, 207.48, 1896.00, 1548.00, -3.97, 
UPL, 810.00, 811.45, 798.10, 804.65, 805.55, 806.35, 0.90, 0.11, 1892039, 152.48, 812.20, 499.85, 7.75, 
FORTIS, 919.30, 920.00, 904.10, 914.75, 915.55, 916.00, 0.80, 0.09, 1270395, 116.21, 1104.30, 577.00, -0.11, 
BHEL, 300.80, 303.40, 296.00, 299.50, 299.75, 299.85, 0.25, 0.08, 7804705, 233.99, 303.40, 176.00, 4.90, 
ZEEL, 91.50, 93.38, 90.72, 91.12, 91.18, 91.17, 0.06, 0.07, 6384558, 58.58, 151.70, 89.32, -6.88, 
KIRLOSBROS, 1649.90, 1685.00, 1617.00, 1645.10, 1646.20, 1646.30, 1.10, 0.07, 136951, 22.70, 2475.00, 1422.35, -0.90, 
GMRAIRPORT, 106.00, 108.02, 104.70, 105.77, 105.83, 105.80, 0.06, 0.06, 10220706, 108.53, 110.36, 67.75, -0.81, 
PAYTM, 1340.60, 1357.20, 1332.00, 1340.60, 1340.90, 1342.00, 0.30, 0.02, 1497798, 201.36, 1381.80, 651.50, -1.73, 
BHARTIARTL, 2102.10, 2112.10, 2096.50, 2106.30, 2106.30, 2106.30, 0.00, 0.00, 2187469, 460.53, 2174.50, 1559.50, 0.11, 
NHPC, 84.00, 84.68, 82.91, 83.62, 83.62, 83.75, 0.00, 0.00, 18151568, 152.09, 92.34, 71.00, 8.20, 
GRAPHITE, 664.00, 670.65, 655.50, 659.70, 659.70, 659.40, 0.00, 0.00, 1025804, 67.95, 670.65, 365.75, 21.15, 
ADANIENT, 2287.00, 2303.90, 2274.30, 2279.80, 2279.50, 2282.90, -0.30, -0.01, 618181, 141.35, 2616.50, 1967.52, 1.79, 
BAJAJFINSV, 2040.00, 2045.90, 2030.00, 2038.40, 2038.20, 2040.30, -0.20, -0.01, 554878, 113.09, 2195.00, 1576.40, -1.33, 
IEX, 135.02, 135.24, 133.15, 134.36, 134.34, 134.30, -0.02, -0.01, 3869879, 51.93, 215.40, 130.26, -9.55, 
ONESOURCE, 1780.00, 1802.00, 1780.00, 1799.50, 1799.30, 1799.20, -0.20, -0.01, 63162, 11.34, 2248.00, 1209.95, 10.60, 
360ONE, 1208.00, 1221.00, 1191.70, 1200.10, 1199.90, 1199.50, -0.20, -0.02, 409132, 49.36, 1318.00, 790.50, 3.20, 
ITI, 313.00, 321.45, 311.50, 312.05, 311.95, 312.60, -0.10, -0.03, 463151, 14.56, 592.70, 234.04, 1.99, 
HINDZINC, 636.70, 638.80, 621.35, 628.80, 628.55, 628.70, -0.25, -0.04, 5969461, 375.93, 656.35, 378.15, 26.86, 
COALINDIA, 430.95, 436.70, 423.50, 427.90, 427.65, 427.75, -0.25, -0.06, 15773806, 675.94, 436.70, 349.25, 12.92, 
BAJAJ-AUTO, 9520.00, 9684.00, 9465.00, 9502.50, 9496.50, 9507.00, -6.00, -0.06, 278850, 266.63, 9684.00, 7089.35, 4.59, 
PNB, 126.00, 128.24, 124.38, 125.35, 125.26, 125.33, -0.09, -0.07, 16729246, 211.24, 128.24, 85.46, -, 
RPOWER, 35.93, 36.41, 35.12, 35.93, 35.90, 35.92, -0.03, -0.08, 25010113, 89.61, 76.49, 31.27, -7.63, 
ITC, 350.20, 353.95, 346.05, 350.05, 349.75, 349.70, -0.30, -0.09, 44686146, 1567.05, 491.00, 345.25, -12.69, 
INDIGO, 5106.00, 5140.00, 5075.00, 5106.00, 5101.50, 5105.00, -4.50, -0.09, 531477, 271.20, 6232.50, 3945.00, -10.38, 
INDUSINDBK, 905.00, 910.00, 894.65, 902.45, 901.65, 902.10, -0.80, -0.09, 1924835, 173.82, 1086.55, 606.00, 6.13, 
GILLETTE, 8250.00, 8267.00, 8152.00, 8207.50, 8200.00, 8199.00, -7.50, -0.09, 14760, 12.09, 11500.00, 7411.65, -2.04, 
TRIVENI, 381.20, 383.55, 377.55, 381.20, 380.85, 380.45, -0.35, -0.09, 188127, 7.15, 468.10, 313.10, 8.81, 
DOMS, 2675.00, 2699.00, 2638.10, 2673.90, 2671.10, 2668.60, -2.80, -0.10, 102487, 27.40, 3064.60, 2092.30, 6.81, 
EXIDEIND, 368.20, 375.70, 365.40, 367.70, 367.30, 367.80, -0.40, -0.11, 2283616, 84.75, 431.60, 328.00, -2.84, 
CRAFTSMAN, 8013.00, 8035.50, 7904.50, 8013.50, 8005.00, 8003.50, -8.50, -0.11, 39675, 31.70, 8050.00, 3700.00, 15.22, 
MRF, 150750.00, 151765.00, 149700.00, 150685.00, 150500.00, 150440.00, -185.00, -0.12, 3740, 56.25, 163600.00, 102124.05, -2.47, 
CARBORUNIV, 860.90, 872.40, 857.45, 859.55, 858.45, 859.10, -1.10, -0.13, 90509, 7.82, 1322.70, 809.10, -3.00, 
DCMSHRIRAM, 1262.50, 1263.80, 1240.00, 1257.20, 1255.60, 1255.80, -1.60, -0.13, 28173, 3.53, 1502.30, 902.60, 3.00, 
MPHASIS, 2802.00, 2817.30, 2761.60, 2807.20, 2803.30, 2805.50, -3.90, -0.14, 137295, 38.36, 3078.40, 2044.55, -1.09, 
CAPLIPOINT, 1837.00, 1870.00, 1830.00, 1848.80, 1846.20, 1843.70, -2.60, -0.14, 47827, 8.85, 2625.95, 1599.00, -3.68, 
MAHSEAMLES, 559.10, 563.75, 556.15, 559.10, 558.30, 558.55, -0.80, -0.14, 97040, 5.43, 773.80, 540.50, -2.41, 
TRIDENT, 27.07, 27.30, 26.89, 27.03, 26.99, 26.98, -0.04, -0.15, 2591158, 7.00, 34.87, 23.11, -3.15, 
VEDL, 620.50, 624.50, 609.70, 616.95, 615.90, 615.75, -1.05, -0.17, 7685237, 472.95, 624.50, 363.00, 14.59, 
PFC, 378.20, 378.90, 371.70, 375.95, 375.30, 375.70, -0.65, -0.17, 5618381, 210.35, 474.85, 329.90, 4.34, 
TRITURBINE, 537.70, 542.00, 534.55, 540.80, 539.90, 539.60, -0.90, -0.17, 128184, 6.91, 789.90, 460.30, 3.12, 
LAURUSLABS, 1106.50, 1113.50, 1096.70, 1106.50, 1104.40, 1103.40, -2.10, -0.19, 891571, 98.59, 1119.00, 501.15, 8.46, 
ENGINERSIN, 207.80, 209.89, 204.11, 206.40, 206.00, 206.03, -0.40, -0.19, 2708966, 55.97, 255.45, 142.20, 4.31, 
MAHSCOOTER, 14237.00, 14529.00, 14151.00, 14237.00, 14210.00, 14223.00, -27.00, -0.19, 2749, 3.93, 18538.00, 8822.00, 0.06, 
KOTAKBANK, 2196.90, 2206.70, 2182.00, 2195.10, 2190.80, 2192.40, -4.30, -0.20, 1831570, 401.93, 2301.90, 1723.75, 2.46, 
DABUR, 524.00, 534.00, 520.50, 522.60, 521.55, 521.50, -1.05, -0.20, 3041978, 160.32, 577.00, 433.30, 2.88, 
WELSPUNLIV, 133.07, 134.33, 131.90, 132.42, 132.16, 132.00, -0.26, -0.20, 927901, 12.36, 166.76, 104.80, -2.90, 
MOTHERSON, 122.74, 122.75, 120.33, 122.04, 121.78, 121.90, -0.26, -0.21, 14983843, 182.13, 124.71, 71.50, 2.33, 
CRISIL, 4445.00, 4482.30, 4413.40, 4458.60, 4449.30, 4445.60, -9.30, -0.21, 46407, 20.61, 6423.75, 3973.60, 1.44, 
AAVAS, 1443.90, 1448.00, 1433.10, 1443.40, 1440.10, 1439.00, -3.30, -0.23, 83618, 12.03, 2234.00, 1418.10, -4.71, 
BLS, 316.80, 319.90, 313.55, 316.80, 316.05, 316.20, -0.75, -0.24, 544215, 17.19, 521.80, 276.95, -2.12, 
VIJAYA, 1059.80, 1065.50, 1042.00, 1059.20, 1056.70, 1055.20, -2.50, -0.24, 50918, 5.36, 1275.00, 740.00, 4.78, 
VTL, 433.10, 440.90, 431.00, 436.10, 435.05, 435.10, -1.05, -0.24, 78438, 3.41, 539.90, 361.10, 0.96, 
LT, 4162.90, 4195.00, 4132.80, 4163.40, 4152.70, 4154.30, -10.70, -0.26, 1020033, 424.85, 4195.00, 2965.30, 3.30, 
SUNDRMFAST, 943.00, 954.30, 937.00, 941.80, 939.35, 939.50, -2.45, -0.26, 103109, 9.72, 1102.70, 831.15, -0.92, 
GICRE, 380.40, 384.20, 376.50, 379.55, 378.55, 378.45, -1.00, -0.26, 187006, 7.10, 475.95, 351.00, -2.11, 
BIOCON, 392.95, 398.95, 388.45, 392.95, 391.90, 391.95, -1.05, -0.27, 1381992, 54.42, 424.95, 291.00, -1.52, 
RAINBOW, 1325.00, 1325.00, 1302.00, 1318.90, 1315.30, 1315.60, -3.60, -0.27, 51022, 6.69, 1649.90, 1218.00, -1.24, 
GRASIM, 2871.00, 2893.00, 2842.50, 2856.40, 2848.50, 2845.60, -7.90, -0.28, 772661, 221.76, 2977.80, 2276.95, 4.44, 
AIAENG, 4090.10, 4165.50, 4073.20, 4089.70, 4078.10, 4086.10, -11.60, -0.28, 71936, 29.70, 4165.50, 3001.10, 6.00, 
INDGN, 525.80, 525.80, 519.70, 522.55, 521.10, 520.85, -1.45, -0.28, 154259, 8.04, 681.70, 499.00, -1.53, 
NIVABUPA, 75.50, 75.62, 74.62, 75.16, 74.95, 74.95, -0.21, -0.28, 409085, 3.07, 95.21, 68.54, 0.54, 
PTCIL, 18103.00, 18249.00, 17860.00, 18103.00, 18051.00, 18070.00, -52.00, -0.29, 15981, 28.82, 19387.00, 9756.30, -1.36, 
LATENTVIEW, 463.30, 470.00, 457.00, 459.10, 457.75, 458.60, -1.35, -0.29, 195506, 9.03, 517.50, 341.20, -1.95, 
CANBK, 155.50, 157.60, 153.52, 154.87, 154.39, 154.52, -0.48, -0.31, 16622290, 258.34, 158.00, 78.60, 1.87, 
CENTRALBK, 39.00, 39.65, 38.27, 38.77, 38.65, 38.64, -0.12, -0.31, 12095529, 46.88, 56.47, 32.75, 1.55, 
M&M, 3805.90, 3839.90, 3785.00, 3802.40, 3790.20, 3793.00, -12.20, -0.32, 1373539, 523.62, 3839.90, 2425.00, 2.31, 
SYNGENE, 658.35, 664.60, 653.40, 658.40, 656.30, 656.60, -2.10, -0.32, 361215, 23.85, 895.75, 599.55, 3.31, 
CAMPUS, 260.15, 263.70, 258.40, 261.85, 261.00, 261.50, -0.85, -0.32, 140829, 3.67, 321.65, 210.00, -4.87, 
TORNTPHARM, 3885.30, 3900.10, 3855.00, 3885.30, 3872.50, 3873.80, -12.80, -0.33, 79697, 30.89, 3900.10, 2886.45, 4.22, 
DIVISLAB, 6400.00, 6447.00, 6354.00, 6392.50, 6371.00, 6373.00, -21.50, -0.34, 121250, 77.56, 7071.50, 4955.00, -0.39, 
SBICARD, 872.00, 876.35, 866.75, 875.95, 872.95, 875.15, -3.00, -0.34, 389148, 33.96, 1027.25, 678.05, -0.85, 
FINCABLES, 786.80, 787.15, 775.10, 784.45, 781.80, 781.70, -2.65, -0.34, 152521, 11.92, 1189.90, 707.30, 5.32, 
DRREDDY, 1256.00, 1262.30, 1247.50, 1256.10, 1251.70, 1251.30, -4.40, -0.35, 1041238, 130.62, 1405.90, 1020.00, -1.50, 
INDIANB, 864.00, 868.10, 849.50, 861.40, 858.35, 859.15, -3.05, -0.35, 937689, 80.47, 894.85, 473.90, 0.23, 
SIEMENS, 3097.70, 3123.00, 3072.60, 3097.70, 3086.90, 3089.30, -10.80, -0.35, 133641, 41.44, 6740.00, 2450.00, -7.83, 
MANKIND, 2205.00, 2222.00, 2184.70, 2202.70, 2195.00, 2199.60, -7.70, -0.35, 148314, 32.68, 2998.40, 2090.00, -0.62, 
WELCORP, 817.80, 817.80, 796.00, 806.35, 803.55, 803.65, -2.80, -0.35, 223623, 17.93, 994.00, 664.30, -4.64, 
STARHEALTH, 459.75, 460.50, 455.05, 459.75, 458.15, 457.80, -1.60, -0.35, 147811, 6.77, 534.00, 327.30, -4.08, 
PFIZER, 4896.00, 4909.20, 4851.00, 4887.20, 4870.00, 4872.00, -17.20, -0.35, 7257, 3.54, 5993.00, 3701.00, -2.15, 
NTPC, 350.35, 354.80, 348.40, 352.10, 350.85, 350.80, -1.25, -0.36, 16792468, 589.95, 371.45, 292.80, 7.15, 
KIRLOSENG, 1260.00, 1278.50, 1241.00, 1261.10, 1256.50, 1256.90, -4.60, -0.36, 240089, 30.19, 1329.00, 544.40, 13.25, 
POLYCAB, 7840.50, 7840.50, 7584.50, 7798.00, 7768.00, 7767.00, -30.00, -0.38, 1109231, 849.31, 7903.00, 4555.00, 6.14, 
LTIM, 6067.50, 6150.50, 6012.50, 6067.00, 6044.00, 6043.50, -23.00, -0.38, 306057, 185.97, 6380.00, 3802.00, -1.57, 
POLICYBZR, 1787.00, 1798.00, 1757.20, 1781.80, 1775.10, 1776.40, -6.70, -0.38, 642614, 114.15, 2246.90, 1311.35, -4.53, 
AGARWALEYE, 499.45, 504.60, 497.00, 501.95, 500.00, 500.15, -1.95, -0.39, 50109, 2.51, 568.00, 327.00, -3.31, 
EIDPARRY, 1017.10, 1027.00, 1003.00, 1011.20, 1007.20, 1006.90, -4.00, -0.40, 109622, 11.06, 1246.80, 639.00, -2.97, 
GVT&D, 3110.00, 3155.00, 3061.40, 3093.70, 3080.60, 3081.40, -13.10, -0.42, 254371, 78.85, 3323.80, 1254.00, 8.47, 
NUVOCO, 358.75, 358.80, 354.00, 356.55, 355.05, 355.15, -1.50, -0.42, 74576, 2.66, 477.50, 287.05, -1.33, 
SHYAMMETL, 850.45, 858.00, 840.85, 850.30, 846.65, 847.05, -3.65, -0.43, 66326, 5.63, 1001.00, 628.25, 5.16, 
FIVESTAR, 533.85, 534.95, 526.50, 532.25, 529.85, 529.70, -2.40, -0.45, 564981, 29.93, 850.00, 501.00, -8.90, 
RITES, 246.40, 247.39, 242.30, 245.88, 244.67, 244.78, -1.21, -0.49, 516770, 12.62, 316.00, 192.40, 6.85, 
INOXINDIA, 1136.00, 1136.00, 1106.20, 1130.80, 1125.30, 1126.70, -5.50, -0.49, 63490, 7.10, 1288.00, 884.20, -1.83, 
COFORGE, 1659.00, 1661.10, 1630.00, 1650.30, 1642.10, 1642.70, -8.20, -0.50, 1391036, 228.63, 1994.00, 1194.01, -13.77, 
UNITDSPR, 1381.30, 1391.20, 1368.80, 1381.60, 1374.70, 1376.10, -6.90, -0.50, 999431, 137.77, 1700.00, 1271.10, -4.12, 
IGIL, 334.50, 335.40, 329.10, 334.60, 332.90, 332.95, -1.70, -0.51, 255962, 8.52, 642.30, 282.00, 2.84, 
ASHOKLEY, 189.00, 191.80, 186.05, 188.78, 187.80, 188.02, -0.98, -0.52, 15706175, 296.91, 191.80, 95.93, 17.99, 
BOSCHLTD, 39010.00, 39550.00, 38760.00, 39420.00, 39215.00, 39220.00, -205.00, -0.52, 42651, 167.14, 41945.00, 25921.60, 7.53, 
FORCEMOT, 21340.00, 21490.00, 21030.00, 21230.00, 21120.00, 21155.00, -110.00, -0.52, 42935, 91.09, 21990.00, 6125.00, 18.72, 
CAMS, 756.95, 757.10, 745.90, 756.55, 752.60, 752.75, -3.95, -0.52, 479990, 36.08, 1057.57, 606.21, -80.35, 
CHOLAFIN, 1782.00, 1785.00, 1761.40, 1781.10, 1771.70, 1771.80, -9.40, -0.53, 622656, 110.23, 1789.10, 1169.80, 4.06, 
RKFORGE, 531.50, 537.00, 522.65, 531.40, 528.60, 529.10, -2.80, -0.53, 180173, 9.51, 1020.00, 475.40, 1.71, 
LINDEINDIA, 5955.50, 6010.00, 5894.00, 5955.50, 5924.00, 5931.00, -31.50, -0.53, 11183, 6.64, 7870.00, 5242.40, 2.81, 
UBL, 1605.90, 1608.00, 1585.60, 1596.40, 1587.80, 1588.90, -8.60, -0.54, 44136, 7.05, 2299.70, 1574.10, -7.24, 
ABB, 5230.00, 5249.50, 5131.00, 5205.50, 5177.00, 5173.50, -28.50, -0.55, 85211, 44.20, 6937.90, 4684.45, 0.43, 
TATATECH, 656.00, 659.60, 649.30, 655.95, 652.35, 652.55, -3.60, -0.55, 545228, 35.69, 912.50, 597.00, -3.02, 
CGPOWER, 652.00, 653.30, 639.50, 649.10, 645.45, 644.60, -3.65, -0.56, 1762106, 113.35, 797.55, 517.70, -1.61, 
IFCI, 53.89, 54.50, 53.00, 53.62, 53.32, 53.33, -0.30, -0.56, 4233031, 22.66, 74.50, 36.20, 5.16, 
JBCHEPHARM, 1864.70, 1866.50, 1834.00, 1850.40, 1840.10, 1841.40, -10.30, -0.56, 117842, 21.72, 1918.50, 1385.75, 4.87, 
DALBHARAT, 2168.00, 2176.00, 2127.20, 2147.10, 2134.80, 2134.00, -12.30, -0.57, 246036, 53.01, 2496.30, 1601.00, 8.07, 
EIHOTEL, 369.70, 371.05, 364.10, 367.30, 365.20, 365.00, -2.10, -0.57, 128298, 4.72, 434.90, 305.00, -2.80, 
JIOFIN, 301.80, 302.45, 298.85, 301.70, 299.95, 300.10, -1.75, -0.58, 6206641, 186.45, 338.60, 198.65, -1.03, 
ARE&M, 928.25, 943.00, 922.70, 928.30, 922.90, 924.80, -5.40, -0.58, 359642, 33.59, 1218.55, 832.30, -2.35, 
OLECTRA, 1258.00, 1263.00, 1234.30, 1248.00, 1240.70, 1241.10, -7.30, -0.58, 266032, 33.18, 1714.20, 989.95, 0.90, 
ACMESOLAR, 241.95, 241.95, 236.70, 240.47, 239.08, 238.98, -1.39, -0.58, 359542, 8.56, 324.30, 167.75, 8.28, 
TTML, 49.89, 50.10, 49.40, 49.79, 49.50, 49.56, -0.29, -0.58, 982222, 4.88, 84.50, 44.52, -3.94, 
MCX, 2225.00, 2232.00, 2176.00, 2216.00, 2203.00, 2203.00, -13.00, -0.59, 1519811, 335.04, 2278.00, 881.63, -78.31, 
INDHOTEL, 748.00, 748.00, 735.50, 748.65, 744.25, 744.40, -4.40, -0.59, 1453906, 107.89, 883.85, 672.60, 0.83, 
CENTURYPLY, 820.00, 836.40, 817.30, 824.10, 819.15, 818.85, -4.95, -0.60, 52888, 4.37, 897.10, 650.00, 0.76, 
BBTC, 1880.80, 1897.00, 1867.20, 1880.90, 1869.70, 1873.50, -11.20, -0.60, 21770, 4.10, 2345.25, 1607.05, 3.82, 
TATAINVEST, 705.90, 705.90, 695.80, 703.75, 699.45, 698.70, -4.30, -0.61, 178952, 12.51, 1184.70, 514.52, -3.94, 
CLEAN, 869.10, 874.15, 862.50, 869.80, 864.40, 865.30, -5.40, -0.62, 94495, 8.19, 1600.00, 857.30, -3.25, 
OFSS, 7735.00, 7743.50, 7630.00, 7731.50, 7683.00, 7686.00, -48.50, -0.63, 89982, 69.03, 12798.85, 7038.00, -4.54, 
NLCINDIA, 274.00, 275.00, 268.50, 272.00, 270.30, 270.15, -1.70, -0.63, 2293467, 62.38, 292.20, 186.03, 12.65, 
HINDPETRO, 495.15, 508.45, 488.10, 495.85, 492.70, 492.55, -3.15, -0.64, 7858823, 392.17, 508.45, 287.55, 10.08, 
JMFINANCIL, 149.00, 149.70, 145.79, 149.06, 148.10, 148.18, -0.96, -0.64, 1794680, 26.48, 199.80, 80.20, -2.65, 
IRFC, 129.00, 129.32, 126.55, 128.48, 127.64, 127.53, -0.84, -0.65, 14157900, 180.71, 156.80, 108.04, 10.36, 
COHANCE, 520.20, 522.80, 513.00, 518.30, 514.90, 515.10, -3.40, -0.66, 1460638, 75.72, 1328.00, 513.00, -5.00, 
ALKEM, 5599.00, 5616.50, 5531.50, 5592.50, 5555.50, 5547.00, -37.00, -0.66, 35379, 19.71, 5868.00, 4491.65, -0.82, 
JKTYRE, 512.40, 515.00, 506.30, 511.55, 508.15, 508.60, -3.40, -0.66, 312559, 15.95, 524.70, 243.00, 12.58, 
APOLLOHOSP, 7129.50, 7134.50, 7063.50, 7129.50, 7080.50, 7081.00, -49.00, -0.69, 307480, 218.50, 8099.50, 6001.00, -1.55, 
NMDC, 85.00, 85.25, 83.22, 84.53, 83.94, 83.99, -0.59, -0.70, 24781117, 208.63, 85.25, 59.53, 11.09, 
AJANTPHARM, 2977.40, 2989.90, 2924.50, 2949.20, 2928.70, 2936.00, -20.50, -0.70, 124379, 36.91, 3094.25, 2327.30, 13.93, 
ADANIGREEN, 1039.00, 1044.70, 1027.70, 1038.80, 1031.40, 1033.10, -7.40, -0.71, 935057, 96.75, 1177.55, 758.00, 1.58, 
AUROPHARMA, 1220.00, 1222.00, 1199.00, 1215.40, 1206.80, 1209.30, -8.60, -0.71, 566299, 68.60, 1356.20, 1010.00, 0.02, 
GLAND, 1715.80, 1722.70, 1686.10, 1715.80, 1703.30, 1701.40, -12.50, -0.73, 273027, 46.16, 2131.00, 1277.80, -2.85, 
